Stakeholder \ Step,Start,Go / No-Go,Create,Kickoff,Technical Solution,Commercial (Pre-Sale),Labor Calculation,Subcontracting,JCI Equipment,3rd Party Equipment,Service (OBS),Cost Review,DoA (Delegation of Authority),Present Quote,Negotiate,Close,Post Mortem,Commercial (Terms)
Process Sales Engineer,,R,,C,C,,,,,,,,,,,,,
Customer,,(decision),,,,,,,,,,,,,,,,
Seller,R,RA,RA,RA,A,,,,,,,,,RA,RA,RA,R,RA
Sales Manager,,A,,,,,,C,I,I,,C,RA,,,,A,A
Estimator,,,,,,,RA,A,R,R,,RA,,R,,,C,
Offshore Engineer,,,,,,,,,,,,,,,,,,
Procurement,,,,R,R,,,R,R,R,,,,,,,C,
Project Manager / Ops Manager,,,,C,,,,,,,,,,,,,,
3rd Party Products,,,,,,,,,,A,,,,,,,,
Subcontractors,,,,,,,,A,,,,,,,,,,
JCI Global Products,,,,,,,,,A,,,,,,,,,
Legal,,C,,,,,,,,,,,,,,,,
Estimate Manager,,,,,,,A,,,,,C,A,,,,C,
EHS,,,,,,,,,,,,,,,,,,
Finance,,,,,,,,,,,,C,C,,,,,
Service Seller,,,,,,,,,,,A,,,,,,,
Service TL (Team Lead),,,,,,,,,,,,,,,,,,

PROCESS ATTRIBUTES,,,,,,,,,,,,,,,,,,
Standardized (Yes/No),,Yes,Yes,,,,No,,,,,,,,,,,
Time (W),,,,,,,,,,,,,,,,,,
Time (C),2 hrs,,,,,,,,,,,,,,,,,

TOOLS USED,,,,,,,,,,,,,,,,,,
Email,x,,,,,,,,,,,,,,,,,
Phone,x,,,,,,,,,,,,,,,,,
SFDC,,,,,,,,,,,,,,,,,,
Sharepoint,,,,,,,,,,,,,,,,,,
THF,,,,,,,,,,,,,,,,,,
Excel,,,,,,,,,,,,,,,,,,
Customer Portal,x,,,,,,,,,,,,,,,,,
Site Visit,,,,,,,,,,,,,,,,,,
Teams,x,,,,,,,,,,,,,,,,,
